stage|step|route|model|calls|tokens_in|tokens_out|api_usd|list_equiv_usd|hours
0|arbitrate|claude_p|opus|7|8404620|551368|0.000|27.97|1.46
0|contracts|claude_p|opus|15|1292224|325533|0.000|20.31|0.95
0|extract|openrouter|openai/gpt-5.6-luna|21|218552|150602|0.235|0.00|0.35
0|extract|openrouter|z-ai/glm-5.3-flash|21|238783|466912|0.269|0.00|1.16
0|leak_audit|codex|gpt-5.6-sol|7|397476|0|0.000|0.00|0.16
0|readiness|claude_p|opus|6|2086081|116482|0.000|7.99|0.38
0|redact|claude_p|opus|12|624273|129207|0.000|8.05|0.37
0|scrub|claude_p|opus|20|657970|141623|0.000|8.87|0.36
0|scrub_descriptions|claude_p|opus|1|37594|12294|0.000|0.69|0.03
1|diagnose|claude_p|opus|10|1723332|12052|0.000|16.99|0.08
1|fix_severity|openrouter|z-ai/glm-5.3-flash|46|231980|84121|0.076|0.00|0.79
1|hardcoding_audit|openrouter|z-ai/glm-5.3-flash|50|543052|666976|0.412|0.00|3.78
1|link_results|openrouter|z-ai/glm-5.3-flash|4691|9479393|1328752|2.063|0.00|9.34
1|replica|claude_p|claude-fable-5-1|5|3474848|97831|0.000|12.99|0.33
1|replica|claude_p|opus|10|11622620|244818|0.000|18.46|0.80
1|replica|codex|gpt-5.6-luna|10|813341|0|0.000|0.00|0.94
1|replica|codex|gpt-5.6-sol|5|411591|0|0.000|0.00|0.50
1|replica|opencode|deepseek/deepseek-v4-flash|10|2305623|226341|0.908|0.00|1.52
1|replica|opencode|z-ai/glm-5.3-flash|10|1802175|167500|0.558|0.00|2.71
1|targeted|claude_p|opus|10|17021135|218441|0.000|19.48|0.88
1|targeted_hardcoding_audit|openrouter|z-ai/glm-5.3-flash|7|59042|83531|0.051|0.00|0.43
1|trace_equivalence|claude_p|opus|14|729350|53527|0.000|6.69|0.20
2|alignment|claude_p|opus|8|246500|30036|0.000|2.82|0.12
2|broad|claude_p|opus|10|2662161|185750|0.000|19.43|0.66
2|causal_language|claude_p|opus|8|210648|10801|0.000|2.23|0.06
2|mde|claude_p|opus|4|811853|19658|0.000|1.59|0.07
3|enumerate|openrouter|z-ai/glm-5.3-flash|6|158468|103190|0.075|0.00|0.37
3|execute|opencode|z-ai/glm-5.3-flash|8|1352460|68728|0.275|0.00|1.94
3|interpret|claude_p|opus|9|162694|9515|0.000|1.35|0.06
3|paper_level|openrouter|z-ai/glm-5.3-flash|4|41038|98304|0.055|0.00|1.40
3|screen|codex|gpt-5.6-sol|5|140282|0|0.000|0.00|0.09
3|stage3_hardcoding_audit|openrouter|z-ai/glm-5.3-flash|8|26534|8959|0.008|0.00|0.03
